fecha,hora,bcv,p2p,banco,brecha
2026-09-18,14:56,848.5458,948.5000,Mercantil,11.7795
2026-09-18,15:03,848.5458,946.9000,Mercantil,11.5909
2026-09-18,17:22,849.5640,950.5000,BBVABank/Provincial,11.8809
2026-09-18,19:47,849.5640,948.5000,Mercantil,11.6455
2026-09-19,00:22,849.5640,950.5190,Mercantil,11.8832
2026-09-19,12:10,849.5640,948.3000,Mercantil,11.6220
2026-09-19,15:06,849.5640,948.0000,Mercantil,11.5866
2026-09-19,17:59,849.5640,945.5000,Provincial,11.2924
2026-09-19,19:57,849.5640,947.9900,BBVABank/Provincial,11.5855
2026-09-20,00:40,849.5640,948.2590,Mercantil,11.6171
2026-09-20,12:38,849.5640,947.8000,Provincial,11.5631
2026-09-20,15:12,849.5640,947.1000,Provincial,11.4807
2026-09-20,18:04,849.5640,945.0000,BBVABank/Provincial,11.2335
2026-09-20,20:43,849.5640,943.3000,Provincial,11.0334
2026-09-21,00:38,849.5640,941.0000,BBVABank/Provincial,10.7627
